Ranking,Title,Service,Genre
21 (+1),콜 오브 듀티: 모던 워페어 2 2022,Activision,FPS
22 (-1),구스 구스 덕,"Gaggle Studios, Inc.",생존
23 (-),어 댄스 오브 파이어 앤 아이스,7th Beat Games,리듬
24 (+1),갓 오브 워,PlayStation PC LLC,액션 어드벤처
25 (+3),그랜드 체이스,KOG,RPG
26 (-),데드 바이 데이라이트,Behaviour Digital Inc.,액션
27 (+2),데이브 더 다이버,MINTROCKET,해양 어드벤처
28 (-1),하데스,Supergiant Games,액션
29 (-5),바이오하자드 RE:4,"CAPCOM Co., Ltd.",액션
30 (+4),사이버펑크 2077,CD PROJEKT RED,오픈월드 액션 RPG
31 (-1),파피 플레이타임,MOB Games,호러
32 (-1),"좋은 피자, 위대한 피자",TapBlaze,시뮬레이션
33 (-),래프트,Square Enix,어드벤처
34 (+2),포르자 호라이즌 5,Xbox Game Studios,오픈 월드 레이싱
35 (-3),문명6,2K,턴제 전략
36 (-1),몬스터 헌터 라이즈,"CAPCOM Co., Ltd.",헌팅 액션
37 (-),테라리아,Re-Logic,어드벤처
38 (-),세키로,Activision (Excluding Japan and Asia),액션
39 (NEW),더 포레스트,Endnight Games Ltd,서바이벌
40 (-),철권 7,BANDAI NAMCO Entertainment,격투
